panel,series_id,display_label,analysis_role,model,partition,metric,successes,denominator,rate,plan_sha256,source_artifacts,interpretation
fresh160_static,fresh160_undefended,Undefended,primary Gemma Banking selected-payload baseline,google-gemma-4-26b-a4b-it,160-fresh,native_attack_success_rate,34,160,0.2125000000,0fcf3aadc5700ef5e1c40b5d5b5fc7242c7eaeb8a1225b525f1305e20cdf6f6b,data/baseline_gemma4/full/results.jsonl; data/baseline_gemma4/banking_followup/plan_fresh160.tsv,matched undefended state on the frozen fresh160 population
fresh160_static,fresh160_defended,Frozen defense,primary Gemma Banking frozen-defense result,google-gemma-4-26b-a4b-it,160-fresh,native_attack_success_rate,4,160,0.0250000000,0fcf3aadc5700ef5e1c40b5d5b5fc7242c7eaeb8a1225b525f1305e20cdf6f6b,data/defended/g4/v1/fresh160/results.jsonl; data/baseline_gemma4/banking_followup/plan_fresh160.tsv,matched defended state on the frozen fresh160 population
replication,discovery_execution,Original execution,original Gemma execution for the 20 repeated keys,google-gemma-4-26b-a4b-it,20-row replication panel,native_attack_success_rate,5,20,0.2500000000,d000809142e1624c7085cf3d01b5c3c782ca09c64c76f89bb9315c8c0ba6d050,data/baseline_gemma4/results.jsonl,undefended discovery execution; development/validation only
replication,replication_execution,Fresh re-execution,new live Gemma replication execution,google-gemma-4-26b-a4b-it,20-row replication panel,native_attack_success_rate,6,20,0.3000000000,bc3e39fc087979621b57a2b85401912430fe83fc08c39cab980dcf2862e56b74,data/baseline_gemma4/full/results.jsonl; data/baseline_gemma4/full/reconciliation_report.json,undefended replication only; no defended estimate exists
original_static_corpus,gemini_static,Original static corpus,original Gemini static-corpus null,google-gemini-3.5-flash-lite,original static corpus,native_attack_success_rate,0,110,0.0000000000,d000809142e1624c7085cf3d01b5c3c782ca09c64c76f89bb9315c8c0ba6d050,data/baseline/results.jsonl,distinct model/corpus null; not pooled with Gemma
